video,text
0001.mp4,"Ice cream is a beloved frozen dessert made from dairy or plant-based milks with added sweeteners and flavorings to give it a smooth, creamy, rich taste. It is a versatile treat that comes in different flavors and can be enjoyed in cones, cups, or as part of creative desserts."
0002.mp4,"KFC (Kentucky Fried Chicken) is a world-renowned fast food chain that serves a range of foods including hamburgers, French fries, and fried chicken."
0003.mp4,"Nike athletic shoes are renowned for their comfort, durability and iconic design, and whether it's running, basketball, training, or lifestyle wear, Nike's extensive range ensures there's a perfect fit for everyone looking for high-quality, stylish and functional footwear."
0004.mp4,"Pepsi is a globally recognized carbonated soft drink known for its bold, refreshing taste and the perfect combination of sweetness and fizz."
0005.mp4,"The mobile phone is an essential communication device that has evolved into a powerful tool integrating advanced functions such as calling, text messaging, Internet browsing, photography and mobile applications."
0006.mp4,"PUMA shoes are known for their blend of style, comfort and performance, making them a popular choice for athletes and casual wearers alike."
0007.mp4,"Soda is a popular carbonated beverage known for its refreshing, bubbly taste and a variety of flavors, from classic cola and lemon-lime to fruity and exotic drinks."
0008.mp4,"Sunglasses are a practical and fashionable accessory designed to protect the eyes from harmful UV rays, reduce glare and improve visual comfort and clarity in bright conditions."
0009.mp4,"The Trolley Case is an essential travel companion designed for convenience and practicality. With its sturdy wheels, retractable handle and spacious compartments, it provides easy maneuverability and efficient packing for trips of any length."
0010.mp4,"UNIQLO is a global apparel retailer offering a wide variety of apparel for men, women and children, including basics such as T-shirts, jeans and outerwear, as well as innovative products such as warm HEATTECH and breathable AIRism."
0011.mp4,"Apple Watch is a versatile and sophisticated smartwatch that combines the power of advanced technology with stylish design. It provides users with notifications, fitness tracking, heart rate monitoring, electrocardiogram readings, GPS navigation and more."
0012.mp4,"A timeless and essential piece of formal wear, the men's suit embodies sophistication, confidence and style. A well-fitted suit exudes confidence and professionalism and is appropriate for business meetings, formal events and special occasions."
0013.mp4,"Men's eyewear is a fusion of function and fashion, designed to provide clear vision while complementing a variety of styles and lifestyles. Whether it's reading, computer use, or outdoor activities, there are glasses to meet specific needs."
0014.mp4,"Men's trousers are an essential part of any wardrobe, designed to provide comfort, style and versatility. Key features typically include a tailored fit, utility pockets and high-quality fabrics, ensuring comfort and durability."
