viewer_id,view_time,visit_date,ad_id,demographics_id
14618,4.35,2024-01-01,14,20
6397,14.45,2024-01-01,40,21
2998,1.52,2024-01-01,6,10
3902,3.28,2024-01-01,71,5
16955,11.68,2024-01-01,39,5
2220,1.6,2024-01-01,12,1
11574,13.58,2024-01-01,71,11
13185,12.35,2024-01-01,36,22
8430,0.86,2024-01-01,77,21
13647,9.82,2024-01-01,9,30
15712,9.56,2024-01-01,46,13
7097,8.55,2024-01-01,44,11
16957,1.42,2024-01-01,54,17
13628,11.41,2024-01-01,38,6
9119,4.05,2024-01-01,23,29
5559,0.69,2024-01-01,36,3
5448,3.8,2024-01-01,12,8
3914,4.86,2024-01-01,20,10
15266,9.13,2024-01-01,46,1
9760,6.15,2024-01-01,77,19
16373,10.13,2024-01-01,49,4
2175,14.42,2024-01-01,71,9
8198,7.92,2024-01-01,32,28
1563,4.64,2024-01-01,54,7
14427,10.35,2024-01-01,73,6
83,13.47,2024-01-01,77,20
15974,14.7,2024-01-01,57,15
6306,12.94,2024-01-01,64,16
8968,0.98,2024-01-01,32,23
376,9.96,2024-01-01,51,13
13940,9.98,2024-01-01,67,6
4943,1.19,2024-01-01,77,4
581,12.78,2024-01-01,65,8
16284,13.39,2024-01-01,36,17
6909,12.79,2024-01-01,29,12
6483,13.27,2024-01-01,13,16
14766,11.48,2024-01-01,50,29
3081,10.71,2024-01-01,69,13
13642,4.67,2024-01-01,56,23
16282,5.72,2024-01-01,6,21
1156,6.63,2024-01-01,34,12
13541,2.28,2024-01-01,66,23
12651,11.4,2024-01-01,52,5
6131,4.36,2024-01-01,17,12
15457,6.85,2024-01-01,75,9
12768,13.75,2024-01-01,43,23
7630,9.89,2024-01-01,45,28
7561,6.06,2024-01-01,59,4
4202,10.3,2024-01-01,6,25
14252,7.15,2024-01-01,46,8
9429,4.77,2024-01-01,62,20
3809,6.19,2024-01-01,68,20
6104,10.62,2024-01-01,36,5
2098,7.32,2024-01-01,31,10
7269,0.98,2024-01-01,39,20
15872,9.63,2024-01-01,8,7
9889,4.86,2024-01-01,19,8
7157,10.13,2024-01-01,30,27
14613,14.83,2024-01-01,77,27
2374,6.48,2024-01-01,27,23
16141,6.35,2024-01-01,75,20
1803,6.2,2024-01-01,62,29
1789,3.85,2024-01-01,37,2
3872,8.85,2024-01-01,15,16
9388,5.61,2024-01-01,36,25
14364,4.04,2024-01-01,23,9
13866,2.44,2024-01-01,74,12
16103,0.17,2024-01-01,2,27
10752,8.37,2024-01-02,4,21
13391,3.71,2024-01-02,1,15
7657,0.96,2024-01-02,30,29
6402,12.32,2024-01-02,43,11
16581,8.89,2024-01-02,54,26
10537,14.11,2024-01-02,72,8
5561,1.96,2024-01-02,7,11
11232,14.61,2024-01-02,53,18
9001,12.78,2024-01-02,24,28
268,9.81,2024-01-02,9,21
5185,12.26,2024-01-02,16,4
9287,0.42,2024-01-02,77,8
563,5.12,2024-01-02,40,16
11942,5.12,2024-01-02,74,17
14514,6.23,2024-01-02,37,30
236,13.35,2024-01-02,12,18
15818,10.82,2024-01-02,28,8
13800,4.54,2024-01-02,45,24
16132,12.72,2024-01-02,25,27
2412,2.07,2024-01-02,67,9
10524,2.98,2024-01-02,33,3
13155,14.75,2024-01-02,49,10
12039,5.23,2024-01-02,30,20
6426,12.34,2024-01-02,63,3
